rank,word,freq
578,star,167036
579,cost,166775
580,simply,166556
581,post,166265
582,society,165769
583,picture,165703
584,piece,165538
585,paper,165070
586,energy,164622
587,personal,164270
588,building,164119
589,military,163555
590,open,163231
591,doctor,163129
592,activity,162943
593,exactly,162663
594,american,162614
595,media,162177
596,miss,162066
597,evidence,162050
598,product,161999
599,realize,161762
600,save,161469
601,arm,161185
602,technology,160819
603,catch,160594
604,comment,160451
605,look,160145
606,term,160014
607,color,160011
608,cover,159606
609,describe,159521
610,guess,159454
611,choice,159277
612,source,158588
613,mom,158511
614,soon,158194
615,director,158028
616,international,157724
617,rule,157468
618,campaign,157373
619,ground,156706
620,election,156532
621,face,156455
622,uh,156333
623,check,155591
624,page,154863
625,fight,154643
626,itself,154505
627,test,154189
628,patient,154125
629,produce,154082
630,certain,154059
631,whatever,153872
632,half,153688
633,video,153563
634,support,152769
635,throw,152388
636,third,152339
637,care,152255
638,rest,151864
639,recent,151697
640,available,151406
641,step,151394
642,ready,151349
643,opportunity,151226
644,official,150423
645,oil,150410
646,call,149896
647,organization,149261
648,character,148825
649,single,148796
650,current,148387
651,likely,148216
652,county,148165
653,future,147923
654,dad,147520
655,whose,147491
656,less,147290
657,shoot,147137
658,industry,146746
659,second,146634
660,list,146495
661,general,146275
662,stuff,145992
663,figure,145812
664,attention,145669
665,forget,145557
666,risk,145334
667,no,144919
668,focus,144896
669,short,144842
670,fire,144750
671,dog,144648
672,red,144046
673,hair,143875
674,point,143750
675,condition,143732
676,wall,143389
677,daughter,142747
678,before,142673
679,deal,142589
680,author,142352
681,truth,142017
682,upon,141420
683,husband,141289
684,period,141173
685,series,140231
686,order,140025
687,officer,139938
688,close,139704
689,land,139579
690,note,139111
691,computer,139082
692,thought,139016
693,economy,138752
694,goal,138693
695,bank,138673
696,behavior,138400
697,sound,138386
698,deal,138197
699,certainly,138162
700,nearly,138034
701,increase,137709
702,act,137668
703,north,137666
704,well,137599
705,blood,137579
706,culture,137140
707,medical,136850
708,ok,136788
709,everybody,136787
710,top,136658
711,difficult,136474
712,close,136431
713,language,136124
714,window,136043
715,response,135942
716,population,135733
717,lie,135712
718,tree,135666
719,park,135440
720,worker,135244
721,draw,135022
722,plan,135011
723,drop,134220
724,push,134206
725,earth,134202
726,cause,133998
727,per,133974
728,private,133907
729,tonight,133341
730,race,133182
731,than,133168
732,letter,132828
733,other,132728
734,gun,132572
735,simple,132004
736,course,131911
737,wonder,131649
738,involve,131275
739,hell,131265
740,poor,131105
741,each,130754
742,answer,130534
743,nature,130378
744,administration,130297
745,common,130294
746,no,130206
747,hard,129919
748,message,129799
749,song,129648
750,enjoy,129575
751,similar,129272
752,congress,128923
753,attack,128893
754,past,128832
755,hot,128310
756,seek,128234
757,amount,128075
758,analysis,128029
759,store,127984
760,defense,127924
761,bill,127919
762,like,127828
763,cell,127818
764,away,127427
765,performance,127318
766,hospital,127317
767,bed,127232
768,board,127202
769,protect,126672
770,century,126668
771,summer,126418
772,material,126254
773,individual,125578
774,recently,125532
775,example,125442
776,represent,125330
777,fill,125249
778,state,125064
779,place,124900
780,animal,124835
781,fail,124675
782,factor,123915
783,natural,123788
784,sir,123629
785,agency,123524
786,usually,123303
787,significant,123040
788,help,123017
789,ability,122943
790,mile,122899
791,statement,122852
792,entire,122397
793,democrat,122325
794,floor,122291
795,serious,122251
796,career,122177
797,dollar,121984
798,vote,121578
799,sex,121352
800,compare,120978
801,south,120894
802,forward,120845
803,subject,120773
804,financial,120726
805,identify,120690
806,beautiful,120679
807,decade,120539
808,bit,120467
809,reduce,120399
810,sister,120346
811,quality,120236
812,quickly,120136
813,act,119650
814,press,119485
815,worry,119256
816,accept,119245
817,enter,119119
818,mention,119033
819,sound,119028
820,thus,118653
821,plant,118323
822,movement,118118
823,scene,118003
824,section,117170
825,treatment,116893
826,wish,116884
827,benefit,116806
828,interesting,116773
829,west,116683
830,candidate,116347
831,approach,116173
832,determine,116138
833,resource,116078
834,claim,116020
835,answer,115956
836,prove,115910
837,sort,115486
838,enough,115462
839,size,115388
840,somebody,115363
841,knowledge,115356
842,rather,115104
843,hang,114959
844,sport,114894
845,tv,114859
846,loss,114630
847,argue,114425
848,left,114320
849,note,114251
850,meeting,114209
851,skill,113912
852,card,113472
853,feeling,113414
854,despite,113257
855,degree,113046
856,crime,112978
857,that,112903
858,sign,112603
859,occur,112575
860,imagine,112572
861,vote,112405
862,near,112214
863,king,112088
864,box,112035
865,present,111731
